ID,구분,제목,설명,작성일,해외/국내,작성언어,키워드
1,논문,A scalable method for Computer Vision,This paper presents a scalable method that improves accuracy and reduces compute cost for Computer Vision tasks. We provide benchmarks and ablation studies.,2016-07-06,해외,English,"Computer Vision, algorithm, benchmark, ablation"
2,논문,A scalable method for Remote Sensing,This paper presents a scalable method that improves accuracy and reduces compute cost for Remote Sensing tasks. We provide benchmarks and ablation studies.,2019-03-31,해외,English,"Remote Sensing, algorithm, benchmark, ablation"
3,논문,재료과학을 위한 효율적 알고리즘 연구,재료과학 분야에서 성능과 계산비용을 동시에 개선한 새로운 알고리즘을 제안하고 실험으로 검증한 논문입니다.,2018-09-30,국내,한국어,"재료과학, 알고리즘, 성능평가, 실험"
4,데이터셋,Social Science Public Dataset (multi-country),A large labeled dataset for Social Science collected across multiple countries. Includes metadata and preprocessing code.,2019-12-26,해외,English,"Social Science, dataset, labeling, preprocessing"
5,데이터셋,Materials Science Public Dataset (multi-country),A large labeled dataset for Materials Science collected across multiple countries. Includes metadata and preprocessing code.,2023-11-14,해외,English,"Materials Science, dataset, labeling, preprocessing"
6,논문,A scalable method for Computer Vision,This paper presents a scalable method that improves accuracy and reduces compute cost for Computer Vision tasks. We provide benchmarks and ablation studies.,2020-04-05,해외,English,"Computer Vision, algorithm, benchmark, ablation"
7,논문,A scalable method for Computer Vision,This paper presents a scalable method that improves accuracy and reduces compute cost for Computer Vision tasks. We provide benchmarks and ablation studies.,2022-03-11,해외,English,"Computer Vision, algorithm, benchmark, ablation"
8,논문,A scalable method for Speech Processing,This paper presents a scalable method that improves accuracy and reduces compute cost for Speech Processing tasks. We provide benchmarks and ablation studies.,2022-12-08,해외,English,"Speech Processing, algorithm, benchmark, ablation"
9,논문,A scalable method for Speech Processing,This paper presents a scalable method that improves accuracy and reduces compute cost for Speech Processing tasks. We provide benchmarks and ablation studies.,2018-07-22,해외,English,"Speech Processing, algorithm, benchmark, ablation"
10,데이터셋,사회과학 공개 데이터셋 (국내 수집),국내 환경에서 수집된 사회과학 관련 대규모 라벨링 데이터셋입니다. 메타데이터와 전처리 스크립트를 포함합니다.,2025-07-03,국내,한국어,"사회과학, 데이터셋, 라벨링, 전처리"
11,데이터셋,원격탐사 공개 데이터셋 (국내 수집),국내 환경에서 수집된 원격탐사 관련 대규모 라벨링 데이터셋입니다. 메타데이터와 전처리 스크립트를 포함합니다.,2019-10-10,국내,한국어,"원격탐사, 데이터셋, 라벨링, 전처리"
12,데이터셋,Time Series Public Dataset (multi-country),A large labeled dataset for Time Series collected across multiple countries. Includes metadata and preprocessing code.,2023-02-13,해외,English,"Time Series, dataset, labeling, preprocessing"
13,데이터셋,Speech Processing Public Dataset (multi-country),A large labeled dataset for Speech Processing collected across multiple countries. Includes metadata and preprocessing code.,2025-05-09,해외,English,"Speech Processing, dataset, labeling, preprocessing"
14,논문,기후과학을 위한 효율적 알고리즘 연구,기후과학 분야에서 성능과 계산비용을 동시에 개선한 새로운 알고리즘을 제안하고 실험으로 검증한 논문입니다.,2017-07-25,국내,한국어,"기후과학, 알고리즘, 성능평가, 실험"
15,데이터셋,로보틱스 공개 데이터셋 (국내 수집),국내 환경에서 수집된 로보틱스 관련 대규모 라벨링 데이터셋입니다. 메타데이터와 전처리 스크립트를 포함합니다.,2017-01-31,국내,한국어,"로보틱스, 데이터셋, 라벨링, 전처리"
16,논문,A scalable method for Autonomous Driving,This paper presents a scalable method that improves accuracy and reduces compute cost for Autonomous Driving tasks. We provide benchmarks and ablation studies.,2025-08-30,해외,English,"Autonomous Driving, algorithm, benchmark, ablation"
17,데이터셋,그래프분석 공개 데이터셋 (국내 수집),국내 환경에서 수집된 그래프분석 관련 대규모 라벨링 데이터셋입니다. 메타데이터와 전처리 스크립트를 포함합니다.,2020-09-27,국내,한국어,"그래프분석, 데이터셋, 라벨링, 전처리"
18,논문,기후과학을 위한 효율적 알고리즘 연구,기후과학 분야에서 성능과 계산비용을 동시에 개선한 새로운 알고리즘을 제안하고 실험으로 검증한 논문입니다.,2018-08-10,국내,한국어,"기후과학, 알고리즘, 성능평가, 실험"
19,데이터셋,Speech Processing Public Dataset (multi-country),A large labeled dataset for Speech Processing collected across multiple countries. Includes metadata and preprocessing code.,2016-10-19,해외,English,"Speech Processing, dataset, labeling, preprocessing"
20,데이터셋,자연어처리 공개 데이터셋 (국내 수집),국내 환경에서 수집된 자연어처리 관련 대규모 라벨링 데이터셋입니다. 메타데이터와 전처리 스크립트를 포함합니다.,2024-07-05,국내,한국어,"자연어처리, 데이터셋, 라벨링, 전처리"
